# File-size budget baseline (#2687). Generated - do not hand-edit.
#
# Every tracked production source file that is currently OVER its documented
# size budget, with the line count that is now its ceiling. This is a debt
# ledger, not a second budget: the budgets in docs/MAINTENANCE.md stay the
# target and this file is expected to shrink.
#
#   route-handler     src/app/**/route.ts(x)     <= 250 LOC
#   route-page-shell  src/app/**/page.tsx        <= 500 LOC
#   domain-module     every other src/**/*.ts(x) <= 700 LOC
#
# Scope is tracked source under src/ only, tests excluded, in any of
# .ts .tsx .mts .cts .js .jsx .mjs .cjs. Everything outside src/ - scripts/,
# prisma/, e2e/, load/, measurement/ - is outside this policy by definition
# and never appears here. A tracked src/ file carrying any other extension
# fails the check rather than dropping quietly out of scope.
#
# The ratchet: a file that is not listed may not go over budget, and a file
# that is listed may not exceed the number recorded below. Shrinking is
# always allowed and lowers the ceiling.
#
#   npm run quality:budget          verify (also a step in CI's `verify` job)
#   npm run quality:budget:update   regenerate against the working tree
#
# Regenerate; never hand-edit, and after a rebase regenerate against the
# rebased tree rather than merging counts by hand. A deliberate increase is
# allowed but must land as a changed line here, with the reason in the PR
# body - there is no exceptions list that bypasses this file.
#
# Format: one record per line, sorted by path.
#   <path> <loc> <budget-category>
src/app/api/bookings/[id]/confirm-payment/route.ts 315 route-handler
src/app/api/bookings/[id]/exception-requests/route.ts 286 route-handler
src/app/api/bookings/[id]/guests/[guestId]/route.ts 502 route-handler
src/app/api/bookings/[id]/guests/route.ts 1208 route-handler
src/app/api/bookings/[id]/modify-dates/route.ts 334 route-handler
src/app/api/bookings/[id]/modify-quote/route.ts 2145 route-handler
src/app/api/bookings/[id]/modify/route.ts 456 route-handler
src/app/api/bookings/[id]/refund-request/route.ts 256 route-handler
src/app/api/bookings/[id]/waitlist-confirm/route.ts 566 route-handler
src/app/api/bookings/quote/route.ts 472 route-handler
src/app/api/bookings/route.ts 1317 route-handler
src/app/api/deploy/warmup/route.ts 387 route-handler
src/app/api/display/state/route.ts 368 route-handler
src/app/api/issue-reports/route.ts 255 route-handler
src/app/api/member/data-export/route.ts 335 route-handler
src/app/api/member/onboarding/route.ts 260 route-handler
src/app/api/members/[id]/photo/route.ts 558 route-handler
src/app/api/members/family/[memberId]/details/route.ts 394 route-handler
src/app/api/members/family/create-group/route.ts 491 route-handler
src/app/api/payments/charge-saved-method/route.ts 350 route-handler
src/app/api/payments/create-payment-intent/route.ts 801 route-handler
src/app/api/payments/switch-to-internet-banking/route.ts 444 route-handler
src/app/api/profile/route.ts 491 route-handler
src/app/api/promo-codes/validate/route.ts 362 route-handler
src/app/api/webhooks/xero/route.ts 290 route-handler
src/app/display/display-screen.tsx 832 domain-module
src/components/admin-sidebar.tsx 1041 domain-module
src/components/admin/analytics-integration-card.tsx 716 domain-module
src/components/admin/booking-bed-allocation-panel.tsx 1110 domain-module
src/components/admin/booking-policies/minimum-night-stay-section.tsx 844 domain-module
src/components/admin/booking-policies/public-booking-requests-section.tsx 836 domain-module
src/components/admin/booking-requests/policy-exception-requests-panel.tsx 1015 domain-module
src/components/admin/booking-requests/public-booking-requests-panel.tsx 2203 domain-module
src/components/admin/email-settings/email-message-settings-panel.tsx 979 domain-module
src/components/admin/finance-report-mappings-panel.tsx 792 domain-module
src/components/admin/induction-template-manager.tsx 733 domain-module
src/components/admin/manual-refund-task-queue.tsx 704 domain-module
src/components/admin/page-content-panel.tsx 2577 domain-module
src/components/admin/rooms-beds-manager.tsx 1406 domain-module
src/components/admin/subscription-lockout-settings-panel.tsx 788 domain-module
src/components/admin/xero-record-activity-panel.tsx 717 domain-module
src/components/analytics-consent.tsx 737 domain-module
src/components/book/member-guest-find-panel.tsx 713 domain-module
src/components/calendar/event-dialog.tsx 991 domain-module
src/components/edit-booking-panel.tsx 3876 domain-module
src/components/website/skifield-whakapapa-widget.tsx 730 domain-module
src/instrumentation.node.ts 1434 domain-module
src/lib/admin-bed-allocation.ts 4484 domain-module
src/lib/admin-bookings-service.ts 1288 domain-module
src/lib/admin-cron-health.ts 771 domain-module
src/lib/admin-family-group-requests-service.ts 1574 domain-module
src/lib/admin-member-detail-service.ts 1657 domain-module
src/lib/admin-members-service.ts 1726 domain-module
src/lib/admin-permissions.ts 749 domain-module
src/lib/admin-roster-service.ts 837 domain-module
src/lib/adult-member-hosting-review.ts 3020 domain-module
src/lib/audit-query.ts 1170 domain-module
src/lib/audit-retention.ts 805 domain-module
src/lib/audit.ts 745 domain-module
src/lib/auth.ts 817 domain-module
src/lib/bed-allocation-lifecycle.ts 2691 domain-module
src/lib/bed-allocation-move.ts 1439 domain-module
src/lib/bed-allocation-removal.ts 789 domain-module
src/lib/bed-allocation.ts 3678 domain-module
src/lib/booking-batch-modification-service.ts 1414 domain-module
src/lib/booking-cancel.ts 2368 domain-module
src/lib/booking-create.ts 1837 domain-module
src/lib/booking-date-modification-service.ts 1774 domain-module
src/lib/booking-delete.ts 733 domain-module
src/lib/booking-edit-guest-ranges.ts 1346 domain-module
src/lib/booking-exception-approval.ts 1043 domain-module
src/lib/booking-exception-execution.ts 1031 domain-module
src/lib/booking-exception-request-service.ts 2125 domain-module
src/lib/booking-exception-requests.ts 720 domain-module
src/lib/booking-guest-removal-service.ts 995 domain-module
src/lib/booking-guests.ts 811 domain-module
src/lib/booking-modify-plan.ts 2200 domain-module
src/lib/booking-request-quotes.ts 1694 domain-module
src/lib/booking-request.ts 2833 domain-module
src/lib/capacity.ts 1045 domain-module
src/lib/club-theme-schema.ts 947 domain-module
src/lib/config-transfer/bootstrap-import.ts 719 domain-module
src/lib/config-transfer/categories/club-settings.ts 1093 domain-module
src/lib/config-transfer/categories/lodge-config.ts 1008 domain-module
src/lib/config-transfer/categories/membership-fees.ts 1076 domain-module
src/lib/config-transfer/categories/site-content.ts 953 domain-module
src/lib/config-transfer/categories/xero-config.ts 808 domain-module
src/lib/contextual-help.ts 2695 domain-module
src/lib/cron-confirm-pending.ts 1687 domain-module
src/lib/cron-group-settlement-reaper.ts 740 domain-module
src/lib/deleted-booking-modification-payment.ts 838 domain-module
src/lib/deploy/warmup-run.ts 885 domain-module
src/lib/diagnostics/tools/database.ts 1200 domain-module
src/lib/diagnostics/tools/define.ts 978 domain-module
src/lib/diagnostics/tools/invoke.ts 1058 domain-module
src/lib/diagnostics/tools/packs/booking-evidence.ts 2052 domain-module
src/lib/diagnostics/tools/packs/booking-records.ts 1429 domain-module
src/lib/diagnostics/tools/packs/booking-search.ts 878 domain-module
src/lib/diagnostics/tools/packs/finance-evidence.ts 849 domain-module
src/lib/diagnostics/tools/packs/finance-records.ts 1196 domain-module
src/lib/diagnostics/tools/packs/membership-records.ts 1157 domain-module
src/lib/diagnostics/tools/provision-role.ts 1131 domain-module
src/lib/diagnostics/tools/types.ts 723 domain-module
src/lib/email-message-registry.ts 2001 domain-module
src/lib/email-message-renderer.ts 842 domain-module
src/lib/email-message-token-contract.ts 715 domain-module
src/lib/email-templates.ts 5000 domain-module
src/lib/email/booking.ts 1426 domain-module
src/lib/finance-booking-metrics.ts 1281 domain-module
src/lib/finance-dashboard-page.ts 1653 domain-module
src/lib/finance-report-mappings.ts 1022 domain-module
src/lib/group-booking.ts 1718 domain-module
src/lib/group-cancel.ts 872 domain-module
src/lib/group-settlement.ts 1235 domain-module
src/lib/ib-hold-clearing-audit.ts 799 domain-module
src/lib/induction-baseline.ts 876 domain-module
src/lib/lodge-display-state.ts 991 domain-module
src/lib/lodge-display/built-in-seeds.ts 773 domain-module
src/lib/member-application-mapping.ts 1105 domain-module
src/lib/member-credit.ts 922 domain-module
src/lib/member-csv-import.ts 1051 domain-module
src/lib/member-email-inheritance.ts 1087 domain-module
src/lib/member-exception-requests.ts 724 domain-module
src/lib/member-family-tree.ts 1216 domain-module
src/lib/member-guest-consent-service.ts 1141 domain-module
src/lib/member-guest-email-notes.ts 793 domain-module
src/lib/member-lifecycle-actions.ts 1717 domain-module
src/lib/member-merge.ts 3640 domain-module
src/lib/member-partner-link.ts 1397 domain-module
src/lib/membership-cancellation-admin.ts 1143 domain-module
src/lib/membership-cancellation-requests.ts 1316 domain-module
src/lib/membership-cancellation-xero.ts 1364 domain-module
src/lib/membership-subscription-billing.ts 1402 domain-module
src/lib/membership-type-policy.ts 1106 domain-module
src/lib/nomination.ts 2448 domain-module
src/lib/notices.ts 708 domain-module
src/lib/payment-link.ts 1168 domain-module
src/lib/payment-reconciliation.ts 2896 domain-module
src/lib/payment-recovery.ts 1881 domain-module
src/lib/payment-transactions.ts 1101 domain-module
src/lib/policies/adult-member-hosting.ts 880 domain-module
src/lib/policies/pricing.ts 805 domain-module
src/lib/promo.ts 2052 domain-module
src/lib/public-page-content-tokens.ts 746 domain-module
src/lib/redact-sensitive-json.ts 818 domain-module
src/lib/school-booking-request.ts 2497 domain-module
src/lib/seasonal-membership-assignments.ts 1655 domain-module
src/lib/setup-readiness.ts 1557 domain-module
src/lib/stripe-webhook-service.ts 1652 domain-module
src/lib/stuck-state-dashboard.ts 1111 domain-module
src/lib/subscription-lockout-enforcement.ts 805 domain-module
src/lib/waitlist-cross-lodge.ts 956 domain-module
src/lib/waitlist.ts 1311 domain-module
src/lib/xero-api-client.ts 768 domain-module
src/lib/xero-applied-credit-deallocation.ts 955 domain-module
src/lib/xero-booking-invoices.ts 1291 domain-module
src/lib/xero-booking-repair-classify.ts 1394 domain-module
src/lib/xero-bulk-contact-sync.ts 705 domain-module
src/lib/xero-contact-create-recovery.ts 830 domain-module
src/lib/xero-contact-groups.ts 853 domain-module
src/lib/xero-contacts.ts 1607 domain-module
src/lib/xero-credit-notes.ts 932 domain-module
src/lib/xero-hardening-report.ts 959 domain-module
src/lib/xero-inbound/credit-note-repairs.ts 979 domain-module
src/lib/xero-inbound/invoice-paid-effects.ts 1525 domain-module
src/lib/xero-invoice-rounding-audit.ts 743 domain-module
src/lib/xero-member-grouping-resync.ts 794 domain-module
src/lib/xero-member-import.ts 1209 domain-module
src/lib/xero-membership-sync.ts 1594 domain-module
src/lib/xero-operation-outbox.ts 2422 domain-module
src/lib/xero-operation-retry.ts 1318 domain-module
src/lib/xero-organisation.ts 983 domain-module
src/lib/xero-record-activity.ts 726 domain-module
src/lib/xero-sync.ts 833 domain-module
src/proxy.ts 1199 domain-module
